filename,text
BILLS-118hjres119ih.pdf,"IA 
118TH CONGRESS 
2D SESSION 
H. J. RES. 119 
Providing for congressional disapproval under chapter 8 of title 5, United 
States Code, of the rule submitted by the Securities and Exchange 
Commission relating to ‘‘Private Fund Advisers; Documentation of Reg-
istered Investment Adviser Compliance Reviews’’. 
IN THE HOUSE OF REPRESENTATIVES 
MARCH 21, 2024 
Mr. MOONEY (for himself, Mr. MEUSER, Mr. OGLES, and Mr. HILL) sub-
mitted the following joint resolution; which was referred to the Committee 
on Financial Services 
JOINT RESOLUTION 
Providing for congressional disapproval under chapter 8 of 
title 5, United States Code, of the rule submitted by 
the Securities and Exchange Commission relating to 
‘‘Private Fund Advisers; Documentation of Registered 
Investment Adviser Compliance Reviews’’. 
Resolved by the Senate and House of Representatives
1
of the United States of America in Congress assembled, 
2
That Congress disapproves the rule submitted by the Se-
3
curities and Exchange Commission relating to ‘‘Private 
4
Fund Advisers; Documentation of Registered Investment 
5
Adviser Compliance Reviews’’ (88 Fed. Reg. 63206; pub-
6
VerDate Sep 11 2014 
00:17 Mar 23, 2024
Jkt 049200
PO 00000
Frm 00001
Fmt 6652
Sfmt 6201
E:\BILLS\HJ119.IH
HJ119
ssavage on LAPJG3WLY3PROD with BILLS
2 
•HJ 119 IH 
lished September 14, 2023), and such rule shall have no 
1
force or effect. 
2
Æ 
VerDate Sep 11 2014 
00:17 Mar 23, 2024
Jkt 049200
PO 00000
Frm 00002
Fmt 6652
Sfmt 6301
E:\BILLS\HJ119.IH
HJ119
ssavage on LAPJG3WLY3PROD with BILLS
"
BILLS-118hr10473ih.pdf,"I 
118TH CONGRESS 
2D SESSION H. R. 10473 
To prevent covered vehicle manufacturers from accessing, selling, or otherwise 
selling certain covered vehicle data, and for other purposes. 
IN THE HOUSE OF REPRESENTATIVES 
DECEMBER 18, 2024 
Mr. BURLISON (for himself and Mr. BIGGS) introduced the following bill; 
which was referred to the Committee on Energy and Commerce 
A BILL 
To prevent covered vehicle manufacturers from accessing, 
selling, or otherwise selling certain covered vehicle data, 
and for other purposes. 
Be it enacted by the Senate and House of Representa-
1
tives of the United States of America in Congress assembled, 
2
SECTION 1. SHORT TITLE. 
3
This Act may be cited as the ‘‘Auto Data Privacy 
4
and Autonomy Act’’. 
5
SEC. 2. DEFINITIONS. 
6
In this Act: 
7
(1) COMMISSION.—The term ‘‘Commission’’ 
8
means the Federal Trade Commission. 
9
VerDate Sep 11 2014 
04:05 Jan 24, 2025
Jkt 059200
PO 00000
Frm 00001
Fmt 6652
Sfmt 6201
E:\BILLS\H10473.IH
H10473
kjohnson on DSK7ZCZBW3PROD with $$_JOB
2 
•HR 10473 IH
(2) COVERED VEHICLE.—The term ‘‘covered ve-
1
hicle’’ means a motor vehicle or a vehicle primarily 
2
used for farming or construction. 
3
(3) DIRECTOR.—The term ‘‘Director’’ means 
4
the Director of the National Institute of Standards 
5
and Technology. 
6
(4) MOTOR VEHICLE.—The term ‘‘motor vehi-
7
cle’’ has the same meaning given such term in sec-
8
tion 30102(a) of title 49, United States Code, and 
9
includes a motor vehicle trailer. 
10
(5) OPERATOR
DATA.—The term ‘‘operator 
11
data’’ means— 
12
(A) all electronic data generated or proc-
13
essed onboard a covered vehicle, such as data 
14
generated by sensors, receivers, computer proc-
15
essing units, or other vehicle components; and 
16
(B) data stored in a covered vehicle gen-
17
erated by the user of such covered vehicle. 
18
(6) 
PERSONALLY
IDENTIFIABLE
INFORMA-
19
TION.—The term ‘‘personally identifiable informa-
20
tion’’ means information that— 
21
(A) directly identifies an individual such as 
22
the name, address, social security number or 
23
other identifying number or code, telephone 
24
number, or email address of an individual; 
25
VerDate Sep 11 2014 
04:05 Jan 24, 2025
Jkt 059200
PO 00000
Frm 00002
Fmt 6652
Sfmt 6201
E:\BILLS\H10473.IH
H10473
kjohnson on DSK7ZCZBW3PROD with $$_JOB
3 
•HR 10473 IH
(B) indirectly identifies an individual such 
1
as the gender, race, or date of birth of an indi-
2
vidual; or 
3
(C) reveals the physical location or internet 
4
activity of an individual. 
5
(7) SECRETARY.—The term ‘‘Secretary’’ means 
6
the Secretary of Transportation. 
7
(8) SECURE.—The term ‘‘secure’’ means, with 
8
respect to the interface for access and control of op-
9
erator data described in section 4(c), designed to 
10
prevent malicious or unauthorized use or access of 
11
such data. 
12
(9) TECHNOLOGY-NEUTRAL.—The term ‘‘tech-
13
nology-neutral’’ means, with respect to the interface 
14
for access and control of operator data described in 
15
section 4(c), designed without preference or preju-
16
dice towards any technology or service used to access 
17
and control such data by a covered vehicle owner, 
18
and not contingent on ownership or licensing of pro-
19
prietary technologies by a covered vehicle owner or 
20
manufacturer. 
21
(10) USER
PREFERENCE.—The term ‘‘user 
22
preference’’ means any choice with respect to a 
23
configurable setting of a covered vehicle made by or 
24
VerDate Sep 11 2014 
04:05 Jan 24, 2025
Jkt 059200
PO 00000
Frm 00003
Fmt 6652
Sfmt 6201
E:\BILLS\H10473.IH
H10473
kjohnson on DSK7ZCZBW3PROD with $$_JOB
4 
•HR 10473 IH
for the benefit of the owner or user of such covered 
1
vehicle. 
2
SEC. 3. OPERATOR DATA PRIVACY AND SECURITY. 
3
(a) PROHIBITION ON MANUFACTURERS.—A manu-
4
facturer of a covered vehicle may not, with respect to the 
5
covered vehicle of a covered vehicle owner that is manufac-
6
tured by such manufacturer— 
7
(1) access operator data, unless— 
8
(A) the covered vehicle owner affirmatively 
9
consents to such manufacturer accessing such 
10
data and such consent— 
11
(i) is freely given; 
12
(ii) is informed, specific, and unam-
13
biguous; 
14
(iii) is in writing; and 
15
(iv) may be easily withdrawn; or 
16
(B) such data is accessed solely to improve 
17
covered vehicle performance or safety; 
18
(2) sell, lease, or otherwise share operator data, 
19
unless— 
20
(A) required to do so— 
21
(i) pursuant to a lawfully executed 
22
warrant; 
23
(ii) pursuant to a court order that 
24
provides the covered vehicle owner notice 
25
VerDate Sep 11 2014 
